factor,horizon,quintile,sample_count,avg_forward_return,median_forward_return,win_rate,avg_forward_drawdown,drawdown_hit_rate_3pct
net_new_lows_share,1,3,392,0.001135770135278606,0.0013029972744977858,0.5637755102040817,0.0023856556351594025,0.002551020408163265
net_new_lows_share,1,4,392,0.0010357930533899874,0.0016947032873688705,0.576530612244898,0.003014205965871359,0.002551020408163265
net_new_lows_share,1,5,393,-0.0009234612439340949,0.0001384242153203985,0.5012722646310432,0.0055660825232744324,0.027989821882951654
net_new_lows_share,5,1,394,0.00463533961213846,0.0069668870271442085,0.6751269035532995,0.007492160618530465,0.06091370558375635
net_new_lows_share,5,2,390,0.0033152141986380044,0.003503827257028358,0.5769230769230769,0.00976426731316178,0.10256410256410256
net_new_lows_share,5,3,391,0.004107537294183809,0.004557313072420355,0.5907928388746803,0.008942665779233546,0.0741687979539642
net_new_lows_share,5,4,391,0.004913719705179817,0.003721683720079305,0.59846547314578,0.00990801783763793,0.09718670076726342
net_new_lows_share,5,5,392,0.0006125378179385706,0.00393968614502771,0.5433673469387755,0.017739818587971516,0.1989795918367347
net_new_lows_share,10,1,394,0.010428894777075535,0.014559469255103097,0.751269035532995,0.011638613540688817,0.13959390862944163
net_new_lows_share,10,2,387,0.006123944914889893,0.007713485982161483,0.5788113695090439,0.015548908536610275,0.21188630490956073
net_new_lows_share,10,3,391,0.006214165656196301,0.006850864509941212,0.6112531969309463,0.014822646504713427,0.1918158567774936
net_new_lows_share,10,4,390,0.009505965802784438,0.009257492623228614,0.6384615384615384,0.015343424390707107,0.16666666666666666
net_new_lows_share,10,5,391,0.002964718283988797,0.004082293994699837,0.5626598465473146,0.027403232838760887,0.3069053708439898
net_new_lows_share,20,1,389,0.024348999711189645,0.03139971631890459,0.8251928020565553,0.01576870378337837,0.20308483290488433
net_new_lows_share,20,2,388,0.009178578193822378,0.009793468385031479,0.5902061855670103,0.025295302014697384,0.35051546391752575
net_new_lows_share,20,3,389,0.012138427007368157,0.013450446235750535,0.6503856041131105,0.024000047938884744,0.31876606683804626
net_new_lows_share,20,4,388,0.013031584996446353,0.0134883351595394,0.6211340206185567,0.02349812867181202,0.30927835051546393
net_new_lows_share,20,5,389,0.012615005967675506,0.018293264404160237,0.6246786632390745,0.03865649880167666,0.39845758354755784
new_low_high_ratio,1,1,1253,0.001058133193029811,0.0018623953151990502,0.6065442936951316,0.0023347415935323257,0.0039904229848363925
new_low_high_ratio,1,2,435,0.0009064735303618564,0.0009603865904912467,0.5586206896551724,0.0028307343559592843,0.0022988505747126436
new_low_high_ratio,1,3,399,-0.0010023311331130538,-0.00014102423162243305,0.49624060150375937,0.00558730579665356,0.02756892230576441
new_low_high_ratio,5,1,1252,0.003927465699583689,0.004850588351679397,0.6150159744408946,0.008694499366619528,0.07268370607028754
new_low_high_ratio,5,2,433,0.003202178908976025,0.0023694874903938956,0.5496535796766744,0.010418243177876013,0.10161662817551963
new_low_high_ratio,5,3,398,0.0007485798223542963,0.003988839755864726,0.5477386934673367,0.017650774910960596,0.1984924623115578
new_low_high_ratio,10,1,1252,0.007401465792735726,0.009930064268152239,0.6317891373801917,0.014081238001132349,0.16853035143769968
